rank,partikelverb,basverb,partikel,betydelse_en,cefr,band,betonad_or_klass,flag
428,skaka om,skaka,om,to shake up,B2,7,ja,
429,slita ut,slita,ut,to wear out,C1,7,ja,
430,trötta ut,trötta,ut,to tire out,B2,7,ja,
431,stiga ner,stiga,ner,"to step down, to descend",C1,7,ja,
432,stiga av,stiga,av,to get off (a vehicle),B1,7,ja,
433,träda tillbaka,träda,tillbaka,"to step down, to withdraw",C1,7,ja,
434,turas om,turas,om,to take turns — base is deponent *turas*,C1,7,ja,
435,hjälpas åt,hjälpas,åt,to help one another — base is deponent *hjälpas*,B2,7,ja,
436,växa bort,växa,bort,to grow out of (a problem),C1,7,ja,
437,dra av,dra,av,to deduct; to pull off,B2,7,ja,
438,dra ihop,dra,ihop,"to contract, to pull together",B2,7,ja,
439,dra ner,dra,ner,to pull down; to cut back,B2,7,ja,
440,duka upp,duka,upp,to lay out a spread of food,B2,7,ja,
441,duka av,duka,av,to clear the table,B1,7,ja,
442,ge igen,ge,igen,"to get back at, to retaliate",B2,7,ja,
443,gripa in,gripa,in,to intervene,B2,7,ja,
444,ha sönder,ha,sönder,to break (something),B2,7,ja,
445,lämna kvar,lämna,kvar,to leave behind,B2,7,ja,
446,rulla upp,rulla,upp,to roll up,B2,7,ja,
447,rulla ut,rulla,ut,to roll out,B1,7,ja,
448,skjuta av,skjuta,av,to fire off (a shot),B2,7,ja,
449,skrämma upp,skrämma,upp,"to startle, to frighten",B2,7,ja,
450,skräpa ner,skräpa,ner,to litter,B2,7,ja,
451,skära ut,skära,ut,to cut out,B2,7,ja,
452,skära ner,skära,ner,"to cut back, to reduce",B1,7,ja,
453,slumra till,slumra,till,to doze off,B2,7,ja,
454,springa in,springa,in,to run in,B2,7,ja,
455,spåra upp,spåra,upp,to track down,B2,7,ja,
456,störta in,störta,in,to rush in; to cave in,B2,7,ja,
457,störta ner,störta,ner,"to plunge down, to crash",B2,7,ja,
458,tona ner,tona,ner,"to tone down, to play down",B2,7,ja,
459,välja om,välja,om,to re-elect,B2,7,ja,
460,gifta bort,gifta,bort,to marry off,B2,7,ja,
461,se efter,se,efter,"to check, to have a look; to look after",B2,7,ja ⚠,
462,se upp,se,upp,"to watch out, to look out",B2,7,ja,
463,sträcka ut,sträcka,ut,to stretch out,B2,7,ja,
464,gå samman,gå,samman,"to join forces, to merge",B1,7,ja,
465,packa ner,packa,ner,to pack (into a bag),A2,7,ja,
466,packa upp,packa,upp,to unpack,A2,7,ja,
467,göra av,göra,av,to do with (*vad ska jag göra av det?*),B1,7,ja,
468,lägga fram,lägga,fram,"to put forward, to present",B1,7,ja,
469,rösta fram,rösta,fram,"to vote in, to elect",B1,7,ja,
470,smälla igen,smälla,igen,to slam shut,B1,7,ja,
471,smörja in,smörja,in,to rub in (cream),B1,7,ja,
472,tvätta bort,tvätta,bort,to wash off,B1,7,ja,
473,sköta om,sköta,om,"to look after, to take care of",B2,7,ja,
474,gå på,gå,på,"to go on, to continue; to be taken in by",A2,8,ja ⚠,
475,se till,se,till,"to make sure, to see to it",B2,8,ja ⚠,
476,ta över,ta,över,to take over,C1,8,ja,
477,tappa bort,tappa,bort,"to lose, to mislay",B2,8,ja,
478,stanna kvar,stanna,kvar,"to stay behind, to remain",B2,8,ja,
479,slänga bort,slänga,bort,to throw away,B1,8,ja,
480,skriva upp,skriva,upp,"to write down, to note down",C1,8,ja,
481,känna efter,känna,efter,to check how one feels,C1,8,ja,
482,lugna ner,lugna,ner,to calm down (*lugna ner sig*),B2,8,ja,
483,ta isär,ta,isär,to take apart,B2,8,ja,
484,gå ihop,gå,ihop,to add up; to break even,B2,8,ja,
485,rinna ut,rinna,ut,"to run out, to leak out",B2,8,ja,
486,koppla bort,koppla,bort,"to disconnect, to switch off",C1,8,ja,
487,lämna bort,lämna,bort,"to hand over, to give away",C1,8,ja,
488,rasa ihop,rasa,ihop,to collapse,C1,8,ja,
489,smälta ihop,smälta,ihop,"to melt together, to fuse",C1,8,ja,
490,knyta ihop,knyta,ihop,to tie together; to tie up (loose ends),C1,8,ja,
491,sprida ut,sprida,ut,"to spread out, to disseminate",C1,8,ja,
492,skruva ner,skruva,ner,to turn down (the volume),C1,8,ja,
493,skruva upp,skruva,upp,to turn up (the volume),B1,8,ja,
494,komma ikapp,komma,ikapp,to catch up,C1,8,ja,
495,nöta ut,nöta,ut,to wear out,B1,8,ja,
496,åka in,åka,in,to go in; to be put inside (jailed),B1,8,ja,
497,arbeta bort,arbeta,bort,to work off,C1,8,ja,
498,dyrka upp,dyrka,upp,to pick (a lock),B2,8,ja,
499,knappa in,knappa,in,"to key in, to type in",C1,8,ja,
500,ta tillvara,ta,tillvara,to make use of,C1,8,ja,
501,bli av med,bli,av,lose; get rid of,B1,9,v+p+prep,
502,bli ifrån sig,bli,ifrån,"become beside oneself, distraught",B1,9,refl,
503,bli till,bli,till,come into existence,B1,9,plain,
504,bli till sig,bli,till,get very excited or worked up,B1,9,refl,
505,få av,få,av,"manage to get off, remove",B1,9,plain,
506,få hem,få,hem,get delivered into stock or home,B1,9,plain,
507,få igen,få,igen,get properly shut; get back (something lent); get paid back (revenge),B1,9,plain,
508,få igenom,få,igenom,get others to accept,B1,9,plain,
509,få med sig,få,med,manage to bring along; win over as supporters,B1,9,refl,
510,få till,få,till,manage to produce; spin a fanciful tale,B1,9,plain,
511,få undan,få,undan,clear away; get (a chore) done,B1,9,plain,
512,få ur,få,ur,manage to squeeze out; coax (information) out of someone,B1,9,plain,
513,få över,få,över,get transferred; have left over,B1,9,plain,
514,ge efter,ge,efter,"yield, relent; give way physically",B1,9,plain,
515,ge ifrån sig,ge,ifrån,hand over; emit (a sound),B1,9,refl,
516,ge med sig,ge,med,relent; ease off (pain); give way physically,B1,9,refl,
517,ge sig ut för,ge,ut,pass oneself off as,B1,9,refl,
518,ge till,ge,till,"let out (a cry, a laugh)",B1,9,plain,
519,gå av och an,gå,av,pace back and forth,B1,9,v+p+prep,
520,gå efter,gå,efter,walk behind; run slow (a clock); go fetch,B1,9,plain,
521,gå emellan,gå,emellan,"mediate, step in between",B1,9,plain,
522,gå emot,gå,emot,"walk into; oppose, go against",B1,9,plain,
523,gå för sig,gå,för,"be suitable, be permissible",B1,9,refl,
524,gå förbi,gå,förbi,"pass by, overtake",B1,9,plain,
526,gå ifrån,gå,ifrån,leave one's post briefly; abandon (a partner),B1,9,plain,
527,gå igång,gå,igång,start (an engine),B1,9,plain,
528,gå itu,gå,itu,break in two,B1,9,plain,
529,gå ner sig,gå,ner,sink through ice or bog; let oneself decline,B1,9,refl,
530,gå tillbaka,gå,tillbaka,go back; slowly recede,B1,9,plain,
531,gå under,gå,under,"go beneath; sink, be destroyed",B1,9,plain,
532,gå upp för,gå,upp,"become clear to, dawn on (impersonal)",C1,9,v+p+prep,
533,gå upp i,gå,upp,be absorbed into; immerse oneself in,B1,9,v+p+prep,
534,gå ut på,gå,ut,"aim at, be about",B1,9,v+p+prep,
535,gå ut över,gå,ut,"take its toll on, hit negatively",B1,9,v+p+prep,
536,gå utför,gå,utför,"go downhill, deteriorate",B1,9,plain,
537,göra ner,göra,ner,"criticize harshly, demolish",B1,9,plain,
538,ha emot,ha,emot,"object to, dislike",B1,9,plain,
539,ha för sig,ha,för,"be up to, be occupied with; have a vague belief",B1,9,refl,
540,ha över,ha,över,have left over,B1,9,plain,
541,hålla efter,hålla,efter,"keep in check, supervise",B1,9,plain,
542,hålla fast vid,hålla,fast,"stick to, remain loyal to",B1,9,v+p+prep,
543,hålla i sig,hålla,i,"hold on to avoid falling; persist (weather, impersonal)",C1,9,refl,
544,hålla inne med,hålla,inne,keep secret,B1,9,v+p+prep,
545,hålla på med,hålla,på,be occupied with,B1,9,v+p+prep,
546,hålla sig undan,hålla,undan,"hide, stay out of reach",B1,9,refl,
547,hålla sig uppe,hålla,uppe,"stay awake, stay upright",B1,9,refl,
548,höra av,höra,av,receive word from,B1,9,plain,
549,höra efter,höra,efter,"inquire, ask",B1,9,plain,
550,höra hit,höra,hit,be relevant; belong to a group,B1,9,plain,
551,höra på,höra,på,listen attentively,B1,9,plain,
552,höra sig för,höra,för,"make inquiries, ask around",B1,9,refl,
553,höra upp,höra,upp,listen up,B1,9,plain,
554,komma an på,komma,an,depend on,B1,9,v+p+prep,
555,komma av,komma,av,get off (a vehicle); result from,B1,9,plain,
556,komma efter,komma,efter,follow later; fall behind,B1,9,plain,
557,komma före,komma,före,arrive ahead of,B1,9,plain,
558,komma ifrån,komma,ifrån,get away from one's post,B1,9,plain,
559,komma igenom,komma,igenom,get through; overcome (a hard period),B1,9,plain,
560,komma ihop sig,komma,ihop,"quarrel, fall out",B1,9,refl,
561,komma iväg,komma,iväg,"get going, get off",B1,9,plain,
562,komma loss,komma,loss,come free; get away; loosen up,B1,9,plain,
563,komma om,komma,om,overtake,B1,9,plain,
564,komma runt,komma,runt,get around (an obstacle or problem),B1,9,plain,
565,komma sig upp,komma,upp,advance in life,B1,9,refl,
567,känna på,känna,på,try out what something feels like,B1,9,plain,
568,ligga av sig,ligga,av,get rusty from disuse,B1,9,refl,
569,ligga bakom,ligga,bakom,"be behind, be the cause of",B1,9,plain,
570,ligga efter,ligga,efter,drive behind; be behind schedule; nag,B1,9,plain,
571,ligga för,ligga,för,suit someone's nature (impersonal),C1,9,plain,
572,ligga före,ligga,före,be ahead,B1,9,plain,
573,ligga i,ligga,i,"work hard, keep at it",B1,9,plain,
574,ligga inne,ligga,inne,be in hospital; do military service indoors,B1,9,plain,
575,ligga inne med,ligga,inne,"hold, have in one's possession (claims, stock)",B1,9,v+p+prep,
576,ligga nere,ligga,nere,be at a standstill,B1,9,plain,
577,ligga på,ligga,på,"beat down strongly (sun); keep pressing, nag",B1,9,plain,
578,ligga till,ligga,till,"be positioned, stand (in a competition); be the state of things (impersonal)",C1,9,plain,
579,ligga till sig,ligga,till,"improve by resting, ripen",B1,9,refl,
580,ligga under,ligga,under,"be trailing, be behind in score",B1,9,plain,
581,ligga ute,ligga,ute,camp outdoors; be out somewhere,B1,9,plain,
582,ligga ute med,ligga,ute,"have money lent out, be owed",B1,9,v+p+prep,
583,ligga över,ligga,över,stay overnight; be leading in score; weigh on someone,B1,9,plain,
584,lägga an på,lägga,an,"make a play for, court",B1,9,v+p+prep,
585,lägga emellan,lägga,emellan,pay the difference,B1,9,plain,
586,lägga för,lägga,för,put in the way of; serve (food) onto a plate,B2,9,plain,
587,lägga sig till med,lägga,till,acquire (a new look or habit),B1,9,refl,
588,lägga sig ut för,lägga,ut,put in a good word for,B1,9,refl,
589,lägga undan,lägga,undan,put aside; save up,B1,9,plain,
590,lägga under sig,lägga,under,"conquer, subjugate",B1,9,refl,
591,läsa av,läsa,av,read off (a meter),B1,9,plain,
592,läsa upp,läsa,upp,read aloud,C1,9,plain,
593,läsa ut,läsa,ut,make sense of (a text),B1,9,plain,
594,se fram emot,se,fram,look forward to,B1,9,v+p+prep,
595,se ner på,se,ner,"despise, look down on",B1,9,v+p+prep,
596,se upp till,se,upp,admire,B1,9,v+p+prep,
597,skriva av,skriva,av,copy in writing,B1,9,plain,
598,skriva in sig,skriva,in,"register, enroll",B1,9,refl,
599,skriva om,skriva,om,rewrite; write about,B1,9,plain,
600,skriva över,skriva,över,overwrite; sign over (property),B1,9,plain,
601,stå bakom,stå,bakom,"be behind, be responsible for; back, support",B1,9,plain,
602,stå emot,stå,emot,"withstand, resist",B1,9,plain,
603,stå fast vid,stå,fast,"stand by, not change one's position",B1,9,v+p+prep,
604,stå fram,stå,fram,step forward publicly,B1,9,plain,
605,stå framme,stå,framme,be left out (food); stand at the front,B1,9,plain,
606,stå för,stå,för,"block (a view); provide, be responsible for",B1,9,plain,
607,stå före,stå,före,be ahead in a queue,B1,9,plain,
608,stå i,stå,i,"bustle, work busily",B1,9,plain,
609,stå inne,stå,inne,remain deposited (money in the bank),B1,9,plain,
610,stå på,stå,på,be going on (impersonal); be happening,B1,9,plain,
611,stå över,stå,över,"pass, skip one's turn",B1,9,plain,
612,ställa av,ställa,av,set down; deregister (a vehicle) temporarily,B1,9,plain,
613,ställa in sig,ställa,in,prepare oneself mentally for,B1,9,refl,
614,ställa om sig,ställa,om,adapt one's way of life,B1,9,refl,
615,ställa sig in,ställa,in,ingratiate oneself,B1,9,refl,
616,ställa tillbaka,ställa,tillbaka,put back; set (a clock) back,B1,9,plain,
617,säga efter,säga,efter,repeat after someone,B1,9,plain,
618,säga emot,säga,emot,"contradict, object",B1,9,plain,
619,säga ifrån,säga,ifrån,speak up in protest,B1,9,plain,
621,säga till om,säga,till,have authority over,B1,9,v+p+prep,
622,sätta av,sätta,av,drop off (a passenger); set aside (money); dash off,B2,9,plain,
623,sätta efter,sätta,efter,set off in pursuit,B1,9,plain,
624,sätta fram,sätta,fram,put out (dishes),B1,9,plain,
625,sätta för,sätta,för,"put in front of, cover with",B1,9,plain,
626,sätta ner,sätta,ner,put down; reduce (prices),B1,9,plain,
627,sätta om,sätta,om,repot (plants); reset (printed text),B1,9,plain,
628,sätta på sig,sätta,på,put on (one's clothes),B1,9,refl,
629,sätta sig emot,sätta,emot,oppose actively,B1,9,refl,
630,sätta sig in i,sätta,in,familiarize oneself with,B1,9,refl,
631,sätta sig upp mot,sätta,upp,"defy, rebel against",B1,9,refl,
632,sätta sig över,sätta,över,"disregard, put oneself above",B1,9,refl,
633,sätta till,sätta,till,add (ingredients),B1,9,plain,
634,sätta undan,sätta,undan,put out of reach; save for later,B1,9,plain,
635,ta för sig,ta,för,help oneself; grab without regard for others,B1,9,refl,
636,ta igen,ta,igen,make up (lost ground),B1,9,plain,
637,ta igen sig,ta,igen,"rest, recover",B1,9,refl,
638,ta in på,ta,in,close the gap on,B1,9,v+p+prep,
639,ta itu med,ta,itu,get down to; take someone to task,B1,9,v+p+prep,
640,ta sig fram,ta,fram,"make one's way, get ahead",B1,9,refl,
641,ta sig för,ta,för,occupy oneself with,B1,9,refl,
642,ta sig före,ta,före,"undertake, decide to do",B1,9,refl,
643,ta sig till,ta,till,"do, resort to doing",B1,9,refl,
644,ta sig ut,ta,ut,"get out; look, appear",B1,9,refl,
645,ta undan,ta,undan,clear away; set aside for oneself,B1,9,plain,
646,ta ur,ta,ur,take out of; gut (a bird); disabuse someone of a belief,B1,9,plain,
647,ta vid,ta,vid,take over where another stops,B1,9,plain,
648,ta vid sig,ta,vid,take (a remark) to heart,B1,9,refl,
649,tycka till,tycka,till,voice one's opinion,B1,9,plain,
650,tänka sig in i,tänka,in,imagine oneself in,B1,9,refl,
651,tänka till,tänka,till,put in real thought,B1,9,plain,
652,vara av,vara,av,be broken in two,B1,9,plain,
653,vara av med,vara,av,be rid of,B1,9,v+p+prep,
654,vara efter,vara,efter,chase; be behind with,B1,9,plain,
655,vara emot,vara,emot,"be against, oppose",B1,9,plain,
656,vara för,vara,för,be drawn (curtains); be in favor of,B1,9,plain,
657,vara ifrån sig,vara,ifrån,be beside oneself,B1,9,refl,
658,vara kvar,vara,kvar,"remain, be left",B1,9,plain,
659,vara med om,vara,med,"experience, be involved in",B1,9,v+p+prep,
660,vara med på,vara,med,"accept, agree to",B1,9,v+p+prep,
661,vara om sig,vara,om,"be thrifty, look out for one's own advantage",B1,9,refl,
662,vara på,vara,på,be switched on; keep close watch on someone,A2,9,plain,
663,vara till för,vara,till,exist for the purpose of,B1,9,v+p+prep,
664,vara till sig,vara,till,"be worked up, excited",B1,9,refl,
665,veta av,veta,av,"tolerate, want to hear of",B1,9,plain,
666,veta med sig,veta,med,be privately aware,B1,9,refl,
667,visa bort,visa,bort,"turn away, dismiss",B1,9,plain,
668,visa tillbaka,visa,tillbaka,reject (accusations),B1,9,plain,
669,visa ut,visa,ut,show out; expel from the premises,B1,9,plain,
670,bygga för,bygga,för,block something by building,B2,9,plain,
671,bygga på,bygga,på,add height or a storey; supplement (education),B2,9,plain,
672,bygga till,bygga,till,enlarge by building an extension,B2,9,plain,
673,bära av,bära,av,set off (impersonal),C1,9,plain,
674,bära emot,bära,emot,feel hard or unpleasant to do (impersonal),C1,9,plain,
675,bära iväg,bära,iväg,carry off; head off (impersonal),C1,9,plain,
676,bära sig åt,bära,åt,behave; go about doing something,B2,9,refl,
677,bära upp,bära,upp,carry upstairs; wear (clothes) elegantly,B2,9,plain,
678,börja på,börja,på,"begin; start at (a school, job)",B2,9,plain,
679,kunna med,kunna,med,"stand, tolerate (usually negated)",B2,9,plain,
680,riva av,riva,av,tear off; rattle off (a tune),B2,9,plain,
681,riva i,riva,i,snap angrily; rummage roughly,B2,9,plain,
682,riva ut,riva,ut,tear out (a page),B2,9,plain,
683,riva åt sig,riva,åt,snatch up,B2,9,refl,
684,stänga igen,stänga,igen,shut properly,B2,9,plain,
685,stänga till,stänga,till,"close temporarily, push shut",B2,9,plain,
686,stänga ute,stänga,ute,"keep out, shut out",B2,9,plain,
687,dra bort,dra,bort,pull away; subtract; move away (weather),B1,9,plain,
688,dra fram,dra,fram,pull out; keep dredging up; sweep through in a group,B1,9,plain,
689,dra för,dra,för,pull (curtains) closed,B1,9,plain,
690,dra ihop sig,dra,ihop,"contract; be approaching (impersonal, e.g. storm)",C1,9,refl,
691,dra in på,dra,in,cut down on,B1,9,v+p+prep,
692,dra ner på,dra,ner,cut back on,B1,9,v+p+prep,
694,dra på,dra,på,"pull on (clothing, with effort); speed up; carry (an illness) around",B1,9,plain,
695,dra sig fram,dra,fram,scrape by financially,B1,9,refl,
696,dra sig tillbaka,dra,tillbaka,"retreat, move away; retire from activity",B1,9,refl,
697,dra sig ur,dra,ur,"pull out of, quit an undertaking",B1,9,refl,
698,dra till,dra,till,tighten; pull shut,B1,9,plain,
699,dra till med,dra,till,blurt out a guess,B1,9,v+p+prep,
700,dra till sig,dra,till,attract,B1,9,refl,
701,dra ut på,dra,ut,"run over, take longer than planned",B1,9,v+p+prep,
702,dra åt sig,dra,åt,pull toward oneself; absorb,B1,9,refl,
703,dra över,dra,över,run over (allotted time); pull (a cover) over,C1,9,plain,
704,hoppa i,hoppa,i,jump into (water),B1,9,plain,
705,hoppa på,hoppa,på,jump onto (a bus); seize on trying; attack with criticism,B1,9,plain,
706,hoppa till,hoppa,till,"give a start, jump in surprise",B1,9,plain,
707,hämta ner,hämta,ner,download to one's computer,B1,9,plain,
708,hänga av sig,hänga,av,hang up one's outdoor clothes,B1,9,refl,
709,hänga efter,hänga,efter,trail after someone annoyingly,B1,9,plain,
710,hänga på,hänga,på,follow close behind; hang out at a place,B1,9,plain,
711,hänga sig på,hänga,på,tag along uninvited,B1,9,refl,
712,hänga upp sig,hänga,upp,"jam, freeze (a machine); fixate on a detail",B1,9,refl,
713,hänga över,hänga,över,"move (clothes) over; loom over, worry; pore over",B1,9,plain,
714,kasta av,kasta,av,throw off (a rider),B1,9,plain,
715,kasta fram,kasta,fram,toss out hastily; float (a proposal),B1,9,plain,
716,kasta i sig,kasta,i,wolf down food,B1,9,refl,
717,kasta om,kasta,om,throw again; reverse the order of,B1,9,plain,
718,kasta omkull,kasta,omkull,knock over,B1,9,plain,
719,kasta upp,kasta,upp,throw upward; vomit,C1,9,plain,
720,klä av,klä,av,undress,B1,9,refl,
721,klä om,klä,om,change clothes; reupholster,B2,9,refl,
722,klä på,klä,på,dress,B1,9,refl,
723,klä upp,klä,upp,dress up in fine clothes,B1,9,refl,
724,köpa hem,köpa,hem,buy in (groceries),B1,9,plain,
725,köpa ut,köpa,ut,buy alcohol for someone; buy out a co-owner,B1,9,plain,
726,köra av,köra,av,drive off (the road),B1,9,plain,
727,köra ihop,köra,ihop,collide; heap together carelessly,B1,9,plain,
728,köra ihop sig,köra,ihop,become chaotic (impersonal),C1,9,refl,
729,köra iväg,köra,iväg,drive off; chase away,B1,9,plain,
730,sitta emellan,sitta,emellan,"be caught in the middle, suffer from others' conflict",B1,9,plain,
731,sitta i,sitta,i,"linger, persist (pain)",B1,9,plain,
732,sitta ihop,sitta,ihop,be stuck together,B1,9,plain,
733,sitta inne,sitta,inne,stay indoors; serve a prison sentence,B1,9,plain,
734,sitta inne med,sitta,inne,possess (knowledge),B1,9,v+p+prep,
735,sitta upp,sitta,upp,mount (a horse); sit upright,B1,9,plain,
736,sitta uppe,sitta,uppe,stay up late,B1,9,plain,
737,sitta åt,sitta,åt,fit tightly,B1,9,plain,
738,slå an,slå,an,strike (a chord),B1,9,plain,
739,slå an på,slå,an,"appeal to, charm",B1,9,v+p+prep,
740,slå av på,slå,av,ease off (the pace),B1,9,v+p+prep,
742,slå bort,slå,bort,knock away; pour off; brush aside (criticism),B1,9,plain,
743,slå i,slå,i,hammer in; bump (a toe); pour into; make someone believe a lie,B1,9,plain,
744,slå ifrån,slå,ifrån,switch off (power),B1,9,plain,
745,slå ifrån sig,slå,ifrån,"refuse to accept, fend off (accusations)",B1,9,refl,
746,slå igen,slå,igen,"shut (a book, a door); close down (a business)",B1,9,plain,
747,slå igenom,slå,igenom,"achieve one's breakthrough, become famous",B1,9,plain,
748,slå in på,slå,in,take up (a new path or career),B1,9,v+p+prep,
749,slå ner på,slå,ner,swoop on; single out for criticism,B1,9,v+p+prep,
750,slå om,slå,om,"tie around; change suddenly (weather, impersonal)",C1,9,plain,
751,slå omkull,slå,omkull,knock over,B1,9,plain,
752,slå runt,slå,runt,overturn completely; party hard,B1,9,plain,
753,slå sig på,slå,på,"take up, go in for",B1,9,refl,
754,slå över,slå,över,pour into another container; overdo it emotionally,B1,9,plain,
755,spela av,spela,av,win off someone at gambling; copy (a recording),B1,9,plain,
756,spela bort,spela,bort,gamble away,B1,9,plain,
757,spela om,spela,om,play again; gamble for (money),B1,9,plain,
758,spela ut,spela,ut,play off (rivals) against each other,B1,9,plain,
759,spela över,spela,över,record over; overact,B1,9,plain,
760,springa bort,springa,bort,"run away, go missing",B1,9,plain,
761,springa efter,springa,efter,run after; run and fetch; chase (romantically),B1,9,plain,
762,springa om,springa,om,overtake while running,B1,9,plain,
763,springa på,springa,på,collide with while running; bump into (a person),B1,9,plain,
764,vika av,vika,av,turn off (a road),B1,9,plain,
765,vänta in,vänta,in,wait for (to arrive),B2,9,plain,
766,vänta ut,vänta,ut,"wait out, outlast",B1,9,plain,
767,åka dit,åka,dit,get caught and punished,B1,9,plain,
768,åka med,åka,med,get a lift,B1,9,plain,
769,åka om,åka,om,overtake,B1,9,plain,
770,åka på,åka,på,be landed with (a chore); catch (something bad),B1,9,plain,
771,åka ur,åka,ur,go off course; be relegated,B1,9,plain,
772,åka ut,åka,ut,go out (to the country); be thrown out; be eliminated,B1,9,plain,
773,äta upp sig,äta,upp,regain weight by eating,B1,9,refl,
774,arbeta av,arbeta,av,pay off a debt through work rather than money,B2,9,plain,
775,arbeta av sig,arbeta,av,get rid of a feeling by working,B2,9,refl,
776,arbeta fram,arbeta,fram,produce or finish something through work,B2,9,plain,
777,arbeta ifatt,arbeta,ifatt,catch up on delayed work,B2,9,plain,
778,arbeta in,arbeta,in,work extra hours to bank time off; make a name or product established; knead or mix in; keep working as long as possible,B2,9,plain,
779,arbeta om,arbeta,om,"rework, revise",B2,9,plain,
780,arbeta på,arbeta,på,keep on working,B2,9,plain,
781,arbeta undan,arbeta,undan,get pending work out of the way,B2,9,plain,
782,arbeta ut,arbeta,ut,devise and complete (a plan),B2,9,plain,
783,arbeta ut sig,arbeta,ut,exhaust oneself by overworking,B2,9,refl,
784,arbeta över,arbeta,över,work overtime,B2,9,plain,
785,backa på,backa,på,collide with something while reversing,B2,9,plain,
786,backa upp,backa,upp,support; reverse a vehicle up to something,B2,9,plain,
787,backa ur,backa,ur,"back out, withdraw from participation",B2,9,plain,
788,bena ut,bena,ut,"untangle, analyze (a problem)",B2,9,plain,
789,binda för,binda,för,tie something over (e.g. blindfold),B2,9,plain,
790,binda in,binda,in,bind (books) in hard covers,B2,9,plain,
791,binda upp,binda,upp,"tie up high (hair, plants)",C1,9,plain,
792,binda upp sig,binda,upp,commit oneself,B2,9,refl,
794,bita av,bita,av,bite off; cut someone short rudely,B2,9,plain,
795,bita ifrån,bita,ifrån,defend oneself sharply in words,B2,9,refl,
796,bjuda emot,bjuda,emot,"be repugnant, feel distasteful (impersonal)",C1,9,plain,
797,bjuda till,bjuda,till,make an effort,B2,9,plain,
798,bjuda upp,bjuda,upp,ask someone to dance,B2,9,plain,
799,bjuda ut,bjuda,ut,take someone out (restaurant etc); offer for sale,B2,9,plain,
800,bjuda ut sig,bjuda,ut,offer oneself sexually (pejorative),C1,9,refl,
801,bjuda över,bjuda,över,invite to one's home; outbid,B2,9,plain,
802,bre på,bre,på,spread on; exaggerate,B2,9,plain,
803,bre ut,bre,ut,spread out flat,B1,9,plain,
804,bre ut sig,bre,ut,take up much room; spread over an area,B2,9,refl,
805,brinna av,brinna,av,"go off, be fired (a shot); burn with eagerness",B2,9,plain,
806,brinna ner,brinna,ner,burn to the ground,B2,9,plain,
807,brinna upp,brinna,upp,be destroyed by fire,B1,9,plain,
808,brinna ut,brinna,ut,burn out slowly,B2,9,plain,
809,bryta av,bryta,av,break in two,B2,9,plain,
810,bryta igenom,bryta,igenom,force a way through; achieve a breakthrough to fame,B2,9,plain,
811,bryta ihop,bryta,ihop,"collapse, break down emotionally",B2,9,plain,
812,bryta ner,bryta,ner,weaken severely; decompose (chemistry),B2,9,plain,
813,bryta samman,bryta,samman,collapse in despair; fail (negotiations),B2,9,plain,
814,bränna ner,bränna,ner,burn down completely,B2,9,plain,
815,bränna upp,bränna,upp,destroy by burning,B2,9,plain,
816,bränna vid,bränna,vid,let food scorch in the pan,B2,9,plain,
817,böja av,böja,av,"turn, curve off (a road)",B2,9,plain,
818,cykla på,cykla,på,keep cycling; hit someone while cycling,B2,9,plain,
819,dela av,dela,av,partition into smaller units,B2,9,plain,
820,dela med sig,dela,med,share what one has,B2,9,refl,
821,dikta ihop,dikta,ihop,make up (a false story),B2,9,plain,
822,dikta upp,dikta,upp,"invent, fabricate (a tale)",B2,9,plain,
823,driva igenom,driva,igenom,push through despite resistance,B2,9,plain,
824,driva in,driva,in,herd in; collect (debts) by force,B2,9,plain,
825,driva omkring,driva,omkring,drift about aimlessly,B2,9,plain,
826,driva på,driva,på,urge to hurry,B2,9,plain,
827,droppa in,droppa,in,leak in; arrive one by one unplanned,B2,9,plain,
828,duka fram,duka,fram,set out food on the table,B2,9,plain,
829,duka under,duka,under,"perish, succumb",B2,9,plain,
830,duka ut,duka,ut,carry dishes back out to the kitchen,B2,9,plain,
831,dyka på,dyka,på,accost someone abruptly,B2,9,plain,
832,dö bort,dö,bort,fade away slowly (sound),B2,9,plain,
833,falla ifrån,falla,ifrån,"pass away, die",B2,9,plain,
834,falla igenom,falla,igenom,fail (an exam),B2,9,plain,
835,falla någon in,falla,in,occur to someone (impersonal),C1,9,v+p+prep,
836,falla på,falla,på,"set in (darkness, an urge)",B2,9,plain,
837,falla undan,falla,undan,"stop resisting, give in (to)",B2,9,plain,
838,falla ut,falla,ut,"fall out; turn out, develop",B2,9,plain,
840,fara på,fara,på,attack fiercely,B2,9,plain,
841,fara upp,fara,upp,jump up abruptly,B2,9,plain,
842,fara ut mot,fara,ut,lash out verbally at,B2,9,v+p+prep,
843,festa om,festa,om,party hard,B2,9,plain,
844,festa upp,festa,upp,squander (money) on partying,B2,9,plain,
845,flyga i,flyga,i,"suddenly possess, get into someone (impersonal)",C1,9,plain,
846,flyga på,flyga,på,attack physically,B2,9,plain,
847,flyga upp,flyga,upp,fly up; jump up abruptly; fly open (a door),B2,9,plain,
848,flyta in,flyta,in,float in; come in steadily (money),B2,9,plain,
849,fresta på,fresta,på,"be a strain, be taxing",B2,9,plain,
851,frysa på,frysa,på,"turn much colder, freeze over (weather)",B2,9,plain,
852,frysa till,frysa,till,freeze to ice,C1,9,plain,
