cefr levels,grammar,infinitive,imperativ,presens,preteritum,supinum,note
A2,att,ansvara,,ansvarar,ansvarade,ansvarat,
A2,att,trivas,,trivs,trivdes,trivts,
A2,att,le,,ler,log,lett,
A2,att,oroa,,oroar,oroade,oroat,
A2,att,knyta,,knyter,knöt,knutit,
A2,att,förhålla sig,,förhåller sig,förhöll sig,förhållit sig,
A2,att,tipsa,,tipsar,tipsade,tipsat,
A2,att,boka,,bokar,bokade,bokat,
A2,att,återfinna,,återfinner,återfann,återfunnit,
A2,att,överge,,överger,övergav,övergett,
A2,att,bringa,,bringar,bringade,bringat,
A2,att,hylla,,hyllar,hyllade,hyllat,
A2,att,resonera,,resonerar,resonerade,resonerat,
A2,att,tillbringa,,tillbringar,tillbringade,tillbringat,
A2,att,längta,,längtar,längtade,längtat,
A2,att,ryka,,rykar,rykade,rykat,
A2,att,bete sig,,beter sig,betedde sig,betett sig,
A2,att,dansa,,dansar,dansade,dansat,
A2,att,nöja sig,,nöjer sig,nöjde sig,nöjt sig,
A2,att,kliva,,kliver,klev,klivit,
A2,att,antyda,,antyder,antydde,antytt,
A2,att,innefatta,,innefattar,innefattade,innefattat,
A2,att,kommunicera,,kommunicerar,kommunicerade,kommunicerat,
A2,att,genomgå,,genomgår,genomgick,genomgått,
A2,att,besegra,,besegrar,besegrade,besegrat,
A2,att,utfärda,,utfärdar,utfärdade,utfärdat,
A2,att,stimulera,,stimulerar,stimulerade,stimulerat,
A2,att,utöka,,utökar,utökade,utökat,
A2,att,angripa,,angriper,angrep,angripit,
A2,att,attackera,,attackerar,attackerade,attackerat,
A2,att,slita,,sliter,slet,slitit,
A2,att,föreskriva,,föreskriver,föreskrev,föreskrivit,
A2,att,hyra,,hyr,hyrde,hyrt,
A2,att,löpa,,löper,löpte,löpt,
A2,att,tillföra,,tillför,tillförde,tillfört,
A2,att,utarbeta,,utarbetar,utarbetade,utarbetat,
A2,att,skrämma,,skrämmer,skrämde,skrämt,
A2,att,tillsätta,,tillsätter,tillsatte,tillsatt,
A2,att,yrka,,yrkar,yrkade,yrkat,
A2,att,tävla,,tävlar,tävlade,tävlat,
A2,att,utbilda,,utbildar,utbildade,utbildat,
A2,att,avvisa,,avvisar,avvisade,avvisat,
A2,att,umgås,,umgås,umgicks,umgåtts,
A2,att,arrangera,,arrangerar,arrangerade,arrangerat,
A2,att,pressa,,pressar,pressade,pressat,
A2,att,fälla,,fäller,fällde,fällt,
A2,att,smaka,,smakar,smakade,smakat,
A2,att,värdera,,värderar,värderade,värderat,
A2,att,fördela,,fördelar,fördelade,fördelat,
A2,att,reducera,,reducerar,reducerade,reducerat,
A2,att,kopiera,,kopierar,kopierade,kopierat,
A2,att,förhandla,,förhandlar,förhandlade,förhandlat,
A2,att,koncentrera,,koncentrerar,koncentrerade,koncentrerat,
B1,att,avgå,,avgår,avgick,avgått,
B1,att,inneha,,innehar,innehade,innehaft,
B1,att,strunta,,struntar,struntade,struntat,
B1,att,instämma,,instämmer,instämde,instämt,
B1,att,debattera,,debatterar,debatterade,debatterat,
B1,att,anordna,,anordnar,anordnade,anordnat,
B1,att,försäkra,,försäkrar,försäkrade,försäkrat,
B1,att,begripa,,begriper,begrep,begripit,
B1,att,kränka,,kränker,kränkte,kränkt,
B1,att,krossa,,krossar,krossade,krossat,
B1,att,övertyga,,övertygar,övertygade,övertygat,
B1,att,sörja,,sörjer,sörjde,sörjt,
B1,att,inspirera,,inspirerar,inspirerade,inspirerat,
B1,att,tilldela,,tilldelar,tilldelade,tilldelat,
B1,att,döpa,,döper,döpte,döpt,
B1,att,avsätta,,avsätter,avsatte,avsatt,
B1,att,kombinera,,kombinerar,kombinerade,kombinerat,
B1,att,observera,,observerar,observerade,observerat,
B1,att,intressera,,intresserar,intresserade,intresserat,
B1,att,klippa,,klipper,klippte,klippt,
B1,att,sparka,,sparkar,sparkade,sparkat,
B1,att,undervisa,,undervisar,undervisade,undervisat,
B1,att,yttra,,yttrar,yttrade,yttrat,
B1,att,försämra,,försämrar,försämrade,försämrat,
B1,att,odla,,odlar,odlade,odlat,
B1,att,vidga,,vidgar,vidgade,vidgat,
B1,att,motsätta sig,,motsätter sig,motsatte sig,motsatt sig,
B1,att,utvidga,,utvidgar,utvidgade,utvidgat,
B1,att,intervjua,,intervjuar,intervjuade,intervjuat,
B1,att,cykla,,cyklar,cyklade,cyklat,
B1,att,offra,,offrar,offrade,offrat,
B1,att,installera,,installerar,installerade,installerat,
B1,att,utge,,utger,utgav,utgett,
B1,att,tillkännage,,tillkännager,tillkännagav,tillkännagett,
B1,att,utmana,,utmanar,utmanade,utmanat,
B1,att,bita,,biter,bet,bitit,
B1,att,skänka,,skänker,skänkte,skänkt,
B1,att,förse,,förser,försåg,försett,
B1,att,förverkliga,,förverkligar,förverkligade,förverkligat,
B1,att,vistas,,vistas,vistades,vistats,
B1,att,datera,,daterar,daterade,daterat,
B1,att,erövra,,erövrar,erövrade,erövrat,
B1,att,vaka,,vakar,vakade,vakat,
B1,att,straffa,,straffar,straffade,straffat,
B1,att,fördöma,,fördömer,fördömde,fördömt,
B1,att,rasa,,rasar,rasade,rasat,
B1,att,avlida,,avlider,avled,avlidit,
B1,att,flyta,,flyter,flöt,flutit,
B1,att,binda,,binder,band,bundit,
B1,att,belysa,,belyser,belyste,belyst,
B1,att,övervaka,,övervakar,övervakade,övervakat,
B1,att,förlåta,,förlåter,förlät,förlåtit,
B1,att,uppdatera,,uppdaterar,uppdaterade,uppdaterat,
B1,att,motta,,mottar,mottog,mottagit,
B1,att,utspela sig,,utspelar sig,utspelade sig,utspelat sig,
B1,att,kvarstå,,kvarstår,kvarstod,kvarstått,
B1,att,låtsas,,låtsas,låtsades,låtsats,
B1,att,segla,,seglar,seglade,seglat,
B1,att,tvätta,,tvättar,tvättade,tvättat,
B1,att,framkomma,,framkommer,framkom,framkommit,
B1,att,skildra,,skildrar,skildrade,skildrat,
B1,att,försörja,,försörjer,försörjde,försörjt,
B1,att,röka,,röker,rökte,rökt,
B1,att,anfalla,,anfaller,anföll,anfallit,
B1,att,spåra,,spårar,spårade,spårat,
B1,att,klä,,klär,klädde,klätt,kläda är en ålderdomlig variant av klä (accepteras ej som svar).
B1,att,konkurrera,,konkurrerar,konkurrerade,konkurrerat,
B1,att,tända,,tänder,tände,tänt,
B1,att,backa,,backar,backade,backat,
B1,att,rita,,ritar,ritade,ritat,
B1,att,ignorera,,ignorerar,ignorerade,ignorerat,
B1,att,befria,,befriar,befriade,befriat,
B1,att,beteckna,,betecknar,betecknade,betecknat,
B1,att,predika,,predikar,predikade,predikat,
B1,att,reflektera,,reflekterar,reflekterade,reflekterat,
B1,att,klargöra,,klargör,klargjorde,klargjort,
B1,att,tendera,,tenderar,tenderade,tenderat,
B1,att,glädja,,gläd(i)er,gladde,glatt,
B1,att,segra,,segrar,segrade,segrat,
B1,att,inrikta,,inriktar,inriktade,inriktat,
B1,att,förvåna,,förvånar,förvånade,förvånat,
B1,att,packa,,packar,packade,packat,
B1,att,bortse,,bortser,bortsåg,bortsett,
B1,att,redogöra,,redogör,redogjorde,redogjort,
B1,att,avslå,,avslår,avslog,avslagit,
B1,att,tillgodose,,tillgodoser,tillgodosåg,tillgodosett,
B1,att,tvivla,,tvivlar,tvivlade,tvivlat,
B1,att,framträda,,framträder,framträdde,framträtt,
B1,att,förlänga,,förlängar,förlängade,förlängat,
B1,att,spegla,,speglar,speglade,speglat,
B1,att,städa,,städar,städade,städat,
B1,att,uppvisa,,uppvisar,uppvisade,uppvisat,
B1,att,ansöka,,ansöker,ansökte,ansökt,
B1,att,beklaga,,beklagar,beklagade,beklagat,
B1,att,uppföra,,uppför,uppförde,uppfört,
B1,att,fria,,friar,friade,friat,
B1,att,bevaka,,bevakar,bevakade,bevakat,
B1,att,integrera,,integrerar,integrerade,integrerat,
B1,att,återgå,,återgår,återgick,återgått,
B1,att,svänga,,svängar,svängade,svängat,
B1,att,överstiga,,överstiger,översteg,överstigit,
B1,att,skärpa,,skärper,skärpte,skärpt,
B1,att,radera,,raderar,raderade,raderat,
B1,att,frukta,,fruktar,fruktade,fruktat,
B1,att,tåla,,tål,tålde,tålt,
B1,att,åberopa,,åberopar,åberopade,åberopat,
B1,att,lagra,,lagrar,lagrade,lagrat,
B1,att,skita,,skiter,sket,skitit,
B1,att,företräda,,företräder,företrädde,företrätt,
B1,att,ångra,,ångrar,ångrade,ångrat,
B1,att,ingripa,,ingriper,ingrep,ingripit,
B1,att,tröttna,,tröttnar,tröttnade,tröttnat,
B1,att,generera,,genererar,genererade,genererat,
B1,att,krypa,,kryper,kröp,krupit,
B1,att,underteckna,,undertecknar,undertecknade,undertecknat,
B1,att,förebygga,,förebygger,förebyggde,förebyggt,
B1,att,lukta,,luktar,luktade,luktat,
B1,att,ursäkta,,ursäktar,ursäktade,ursäktat,
B1,att,demonstrera,,demonstrerar,demonstrerade,demonstrerat,
B1,att,godta,,godtar,godtog,godtagit,
B1,att,andas,,andas,andades,andats,
B1,att,suga,,suger,sög,sugit,
B1,att,forska,,forskar,forskade,forskat,
B1,att,rensa,,rensar,rensade,rensat,
B1,att,utvärdera,,utvärderar,utvärderade,utvärderat,
B1,att,glida,,glider,gled,glidit,
B1,att,introducera,,introducerar,introducerade,introducerat,
B1,att,försvåra,,försvårar,försvårade,försvårat,
B1,att,illustrera,,illustrerar,illustrerade,illustrerat,
B1,att,tveka,,tvekar,tvekade,tvekat,
B1,att,förkasta,,förkastar,förkastade,förkastat,
B1,att,anlita,,anlitar,anlitade,anlitat,
B1,att,avfärda,,avfärdar,avfärdade,avfärdat,
B1,att,överensstämma,,överensstämmer,överensstämde,överensstämt,
B1,att,ogilla,,ogillar,ogillade,ogillat,
B1,att,omvandla,,omvandlar,omvandlade,omvandlat,
B1,att,duga,,duger,dög,dugit,
B1,att,störta,,störtar,störtade,störtat,
B1,att,överta,,övertar,övertog,övertagit,
B1,att,återge,,återger,återgav,återgett,
B1,att,koka,,kokar,kokade,kokat,
B1,att,överklaga,,överklagar,överklagade,överklagat,
B1,att,vrida,,vrider,vred,vridit,
B1,att,fästa,,fäster,fäste,fäst,
B1,att,häva,,häver,hävde,hävt,
B1,att,upphäva,,upphäver,upphävde,upphävt,
B1,att,offentliggöra,,offentliggör,offentliggjorde,offentliggjort,
B1,att,kompensera,,kompenserar,kompenserade,kompenserat,
B1,att,återställa,,återställer,återställde,återställt,
B1,att,förutse,,förutser,förutsåg,förutsett,
B1,att,stötta,,stöttar,stöttade,stöttat,
B1,att,värma,,värmer,värmde,värmt,
B1,att,ramla,,ramlar,ramlade,ramlat,
B1,att,skynda,,skyndar,skyndade,skyndat,
B1,att,bada,,badar,badade,badat,
B1,att,referera,,refererar,refererade,refererat,
B1,att,förvalta,,förvaltar,förvaltade,förvaltat,
B1,att,regna,,regnar,regnade,regnat,
B1,att,spekulera,,spekulerar,spekulerade,spekulerat,
B1,att,upplösa,,upplöser,upplöste,upplöst,
B1,att,blockera,,blockerar,blockerade,blockerat,
B1,att,hysa,,hyser,hyste,hyst,
B1,att,benämna,,benämner,benämnde,benämnt,
B1,att,uppta,,upptar,upptog,upptagit,
B1,att,erinra,,erinrar,erinrade,erinrat,
B1,att,klättra,,klättrar,klättrade,klättrat,
B1,att,rusa,,rusar,rusade,rusat,
B1,att,plugga,,pluggar,pluggade,pluggat,
B1,att,avveckla,,avvecklar,avvecklade,avvecklat,
B1,att,bibehålla,,bibehåller,bibehöll,bibehållit,
B1,att,smyga,,smyger,smög,smugit,
B1,att,vårda,,vårdar,vårdade,vårdat,
B1,att,lista,,listar,listade,listat,
B1,att,lugna,,lugnar,lugnade,lugnat,
B1,att,hugga,,hugger,högg,huggit,
B1,att,åtala,,åtalar,åtalade,åtalat,
B1,att,transportera,,transporterar,transporterade,transporterat,
B1,att,reta,,retar,retade,retat,
B1,att,ärva,,ärver,ärvde,ärvt,
B1,att,föregå,,föregår,föregick,föregått,
B1,att,smälta,,smältar,smältade,smältat,
B1,att,styrka,,styrker,styrkte,styrkt,
B1,att,frysa,,fryser,frös,frusit,
B1,att,försvaga,,försvagar,försvagade,försvagat,
B1,att,simma,,simmar,simmade,simmat,
B1,att,fotografera,,fotograferar,fotograferade,fotograferat,fota är en vardaglig variant av fotografera (accepteras ej som svar).
B1,att,påvisa,,påvisar,påvisade,påvisat,
B1,att,trampa,,trampar,trampade,trampat,
B1,att,torka,,torkar,torkade,torkat,
B1,att,spränga,,spränger,sprängde,sprängt,
B1,att,känneteckna,,kännetecknar,kännetecknade,kännetecknat,
B1,att,fördjupa,,fördjupar,fördjupade,fördjupat,
B1,att,vänja,,vänjer,vande,vant,
B1,att,undgå,,undgår,undgick,undgått,
B1,att,avrätta,,avrättar,avrättade,avrättat,
B1,att,fullfölja,,fullföljer,fullföljde,fullföljt,
B1,att,foga,,fogar,fogade,fogat,
B1,att,blunda,,blundar,blundade,blundat,
B1,att,värva,,värvar,värvade,värvat,
B1,att,sikta,,siktar,siktade,siktat,
B1,att,avvika,,avviker,avvek,avvikit,
B1,att,verkställa,,verkställer,verkställde,verkställt,
B1,att,svära,,svär,svor,svurit,
B1,att,deklarera,,deklarerar,deklarerade,deklarerat,
B1,att,imponera,,imponerar,imponerade,imponerat,
B1,att,frigöra,,frigör,frigjorde,frigjort,
B1,att,upplysa,,upplyser,upplyste,upplyst,
B1,att,färdas,,färdas,färdades,färdats,
B1,att,brista,,brister,brast,brustit,
B1,att,överlåta,,överlåter,överlät,överlåtit,
B1,att,konsumera,,konsumerar,konsumerade,konsumerat,
B1,att,förfölja,,förföljer,förföljde,förföljt,
B1,att,fordra,,fordrar,fordrade,fordrat,
B1,att,kika,,kikar,kikade,kikat,
B1,att,svika,,sviker,svek,svikit,
B1,att,utropa,,utropar,utropade,utropat,
B1,att,gnälla,,gnäller,gnällde,gnällt,
B1,att,eftersträva,,eftersträvar,eftersträvade,eftersträvat,
B1,att,förflytta,,förflyttar,förflyttade,förflyttat,
B1,att,härska,,härskar,härskade,härskat,
B1,att,förknippa,,förknippar,förknippade,förknippat,
B1,att,inskränka,,inskränker,inskränkte,inskränkt,
B1,att,prestera,,presterar,presterade,presterat,
B1,att,regera,,regerar,regerade,regerat,
B1,att,sortera,,sorterar,sorterade,sorterat,
B1,att,misshandla,,misshandlar,misshandlade,misshandlat,
B1,att,bliva,,blir,blev,blivit,
B1,att,anlägga,,anlägger,anlade,anlagt,
B1,att,breda,,bredar,bredade,bredat,
B2,att,marknadsföra,,marknadsför,marknadsförde,marknadsfört,
B2,att,anstränga,,anstränger,ansträngde,ansträngt,
B2,att,växla,,växlar,växlade,växlat,
B2,att,förvärva,,förvärvar,förvärvade,förvärvat,
B2,att,belöna,,belönar,belönade,belönat,
B2,att,importera,,importerar,importerade,importerat,
B2,att,behärska,,behärskar,behärskade,behärskat,
B2,att,utrota,,utrotar,utrotade,utrotat,
B2,att,uppfinna,,uppfinner,uppfann,uppfunnit,
B2,att,inbilla,,inbillar,inbillade,inbillat,
B2,att,avge,,avger,avgav,avgett,
B2,att,löna sig,,lönar sig,lönade sig,lönat sig,
B2,att,konstruera,,konstruerar,konstruerade,konstruerat,
B2,att,åtgärda,,åtgärdar,åtgärdade,åtgärdat,
B2,att,släpa,,släpar,släpade,släpat,
B2,att,utforska,,utforskar,utforskade,utforskat,
B2,att,invadera,,invaderar,invaderade,invaderat,
B2,att,justera,,justerar,justerade,justerat,
B2,att,läcka,,läcker,läckte,läckt,
B2,att,efterlysa,,efterlyser,efterlyste,efterlyst,
B2,att,samordna,,samordnar,samordnade,samordnat,
B2,att,mata,,matar,matade,matat,
B2,att,ålägga,,ålägger,ålade,ålagt,
B2,att,framkalla,,framkallar,framkallade,framkallat,
B2,att,inbjuda,,inbjuder,inbjöd,inbjudit,
B2,att,utplåna,,utplånar,utplånade,utplånat,
B2,att,bearbeta,,bearbetar,bearbetade,bearbetat,
B2,att,snurra,,snurrar,snurrade,snurrat,
B2,att,förvara,,förvarar,förvarade,förvarat,
B2,att,rota,,rotar,rotade,rotat,
B2,att,sammanställa,,sammanställer,sammanställde,sammanställt,
B2,att,stirra,,stirrar,stirrade,stirrat,
B2,att,uppenbara,,uppenbarar,uppenbarade,uppenbarat,
B2,att,maila,,mailar,mailade,mailat,
B2,att,beordra,,beordrar,beordrade,beordrat,
B2,att,förbinda,,förbinder,förband,förbundit,
B2,att,fullgöra,,fullgör,fullgjorde,fullgjort,
B2,att,missbruka,,missbrukar,missbrukade,missbrukat,
B2,att,förvärra,,förvärrar,förvärrade,förvärrat,
B2,att,indikera,,indikerar,indikerade,indikerat,
B2,att,förnya,,förnyar,förnyade,förnyat,
B2,att,inhämta,,inhämtar,inhämtade,inhämtat,
B2,att,dämpa,,dämpar,dämpade,dämpat,
B2,att,mobilisera,,mobiliserar,mobiliserade,mobiliserat,
B2,att,expandera,,expanderar,expanderade,expanderat,
B2,att,förkunna,,förkunnar,förkunnade,förkunnat,
B2,att,böja,,böjer,böjde,böjt,
B2,att,förenkla,,förenklar,förenklade,förenklat,
B2,att,viga,,vigar,vigade,vigat,
B2,att,tömma,,tömmer,tömde,tömt,
B2,att,utmärka,,utmärker,utmärkte,utmärkt,
B2,att,mista,,mister,miste,mist,
B2,att,besitta,,besitter,besatt,besuttit,
B2,att,initiera,,initierar,initierade,initierat,
B2,att,härstamma,,härstammar,härstammade,härstammat,
B2,att,promenera,,promenerar,promenerade,promenerat,
B2,att,supa,,super,söp,supit,
B2,att,poängtera,,poängterar,poängterade,poängterat,
B2,att,ockupera,,ockuperar,ockuperade,ockuperat,
B2,att,rekrytera,,rekryterar,rekryterade,rekryterat,
B2,att,krama,,kramar,kramade,kramat,
B2,att,provocera,,provocerar,provocerade,provocerat,
B2,att,samtala,,samtalar,samtalade,samtalat,
B2,att,omge,,omger,omgav,omgett,
B2,att,företa,,företar,företog,företagit,
B2,att,eliminera,,eliminerar,eliminerade,eliminerat,
B2,att,filma,,filmar,filmade,filmat,
B2,att,spana,,spanar,spanade,spanat,
B2,att,motarbeta,,motarbetar,motarbetade,motarbetat,
B2,att,tilltala,,tilltalar,tilltalade,tilltalat,
B2,att,splittra,,splittrar,splittrade,splittrat,
B2,att,bosätta sig,,bosätter sig,bosatte sig,bosatt sig,
B2,att,dokumentera,,dokumenterar,dokumenterade,dokumenterat,
B2,att,tillskriva,,tillskriver,tillskrev,tillskrivit,
B2,att,erfara,,erfar,erfor,erfarit,
B2,att,bromsa,,bromsar,bromsade,bromsat,
B2,att,bråka,,bråkar,bråkade,bråkat,
B2,att,balansera,,balanserar,balanserade,balanserat,
B2,att,stifta,,stiftar,stiftade,stiftat,
B2,att,korsa,,korsar,korsade,korsat,
B2,att,avlägsna,,avlägsnar,avlägsnade,avlägsnat,
B2,att,infinna sig,,infinner sig,infann sig,infunnit sig,
B2,att,åtnjuta,,åtnjuter,åtnjöt,åtnjutit,
B2,att,förlita sig,,förlitar sig,förlitade sig,förlitat sig,
B2,att,förlägga,,förlägger,förlade,förlagt,
B2,att,iaktta,,iakttar,iakttog,iakttagit,
B2,att,bekänna,,bekänner,bekände,bekänt,
B2,att,stava,,stavar,stavade,stavat,
B2,att,exportera,,exporterar,exporterade,exporterat,
B2,att,surfa,,surfar,surfade,surfat,
B2,att,plåga,,plågar,plågade,plågat,
B2,att,utlova,,utlovar,utlovade,utlovat,
B2,att,återta,,återtar,återtog,återtagit,
B2,att,inträda,,inträder,inträdde,inträtt,
B2,att,inviga,,invigar,invigade,invigat,
B2,att,strömma,,strömmar,strömmade,strömmat,
B2,att,kartlägga,,kartlägger,kartlade,kartlagt,
B2,att,övervinna,,övervinner,övervann,övervunnit,
B2,att,förtydliga,,förtydligar,förtydligade,förtydligat,
B2,att,skåda,,skådar,skådade,skådat,
B2,att,bevittna,,bevittnar,bevittnade,bevittnat,
B2,att,klassa,,klassar,klassade,klassat,
B2,att,begrava,,begraver,begravde/begrov,begravt,C5: fri variant (begravde/begrov). Supinum saknar dokumenterat alternativ i denna rad.
B2,att,manipulera,,manipulerar,manipulerade,manipulerat,
B2,att,minimera,,minimerar,minimerade,minimerat,
B2,att,explodera,,exploderar,exploderade,exploderat,
B2,att,operera,,opererar,opererade,opererat,
B2,att,bomba,,bombar,bombade,bombat,
B2,att,våldta,,våldtar,våldtog,våldtagit,
B2,att,skruva,,skruvar,skruvade,skruvat,
B2,att,slutföra,,slutför,slutförde,slutfört,
B2,att,återspegla,,återspeglar,återspeglade,återspeglat,
B2,att,inkomma,,inkommer,inkom,inkommit,
B2,att,utlösa,,utlöser,utlöste,utlöst,
B2,att,utnämna,,utnämner,utnämnde,utnämnt,
B2,att,pricka,,prickar,prickade,prickat,
B2,att,befara,,befarar,befarade,befarat,
B2,att,beundra,,beundrar,beundrade,beundrat,
B2,att,bistå,,bistår,bistod,bistått,
B2,att,sno,,snor,snodde,snott,
B2,att,omsätta,,omsätter,omsatte,omsatt,
B2,att,sy,,syr,sydde,sytt,
B2,att,invända,,invänder,invände,invänt,
B2,att,underhålla,,underhåller,underhöll,underhållit,
B2,att,fiska,,fiskar,fiskade,fiskat,
B2,att,tillträda,,tillträder,tillträdde,tillträtt,
B2,att,utvisa,,utvisar,utvisade,utvisat,
B2,att,skälla,,skäller,skällde,skällt,
B2,att,symbolisera,,symboliserar,symboliserade,symboliserat,
B2,att,klämma,,klämmer,klämde,klämt,
B2,att,samverka,,samverkar,samverkade,samverkat,
B2,att,överskrida,,överskrider,överskred,överskridit,
B2,att,aktivera,,aktiverar,aktiverade,aktiverat,
B2,att,montera,,monterar,monterade,monterat,
B2,att,utbryta,,utbryter,utbröt,utbrutit,
B2,att,genomsyra,,genomsyrar,genomsyrade,genomsyrat,
B2,att,tjänstgöra,,tjänstgör,tjänstgjorde,tjänstgjort,
B2,att,fastslå,,fastslår,fastslog,fastslagit,
B2,att,återuppta,,återupptar,återupptog,återupptagit,
B2,att,fördriva,,fördriver,fördrev,fördrivit,
B2,att,släcka,,släcker,släckte,släckt,
B2,att,inbegripa,,inbegriper,inbegrep,inbegripit,
B2,att,uppehålla,,uppehåller,uppehöll,uppehållit,
B2,att,nicka,,nickar,nickade,nickat,
B2,att,inge,,inger,ingav,ingett,
B2,att,sammanfalla,,sammanfaller,sammanföll,sammanfallit,
B2,att,hälla,,häller,hällde,hällt,
B2,att,käka,,käkar,käkade,käkat,
B2,att,svälta,,svälter,svalt/svälte,svultit/svält,C5/C6a: fri variant (svalt/svälte); betydelsebetingat i supinum (svält=transitivt; svultit=intransitivt).
B2,att,välta,,vältar,vältade,vältat,
B2,att,fängsla,,fängslar,fängslade,fängslat,
B2,att,gratulera,,gratulerar,gratulerade,gratulerat,
B2,att,vädja,,vädjar,vädjade,vädjat,
B2,att,lasta,,lastar,lastade,lastat,
B2,att,smitta,,smittar,smittade,smittat,
B2,att,påtala,,påtalar,påtalade,påtalat,
B2,att,klistra,,klistrar,klistrade,klistrat,
B2,att,beskatta,,beskattar,beskattade,beskattat,
B2,att,vakta,,vaktar,vaktade,vaktat,
B2,att,förtrycka,,förtrycker,förtryckte,förtryckt,
B2,att,avta,,avtar,avtog,avtagit,
B2,att,bläddra,,bläddrar,bläddrade,bläddrat,
B2,att,väva,,väver,vävde,vävt,
B2,att,spricka,,spricker,sprack,spruckit,
B2,att,övertala,,övertalar,övertalade,övertalat,
B2,att,härja,,härjar,härjade,härjat,
B2,att,annonsera,,annonserar,annonserade,annonserat,
B2,att,bekymra,,bekymrar,bekymrade,bekymrat,
B2,att,distribuera,,distribuerar,distribuerade,distribuerat,
B2,att,bestrida,,bestrider,bestred,bestridit,
B2,att,vifta,,viftar,viftade,viftat,
B2,att,hacka,,hackar,hackade,hackat,
B2,att,smälla,,smäller,smällde,smällt,
B2,att,hänföra,,hänför,hänförde,hänfört,
B2,att,recensera,,recenserar,recenserade,recenserat,
B2,att,diskriminera,,diskriminerar,diskriminerade,diskriminerat,
B2,att,reformera,,reformerar,reformerade,reformerat,
B2,att,fördubbla,,fördubblar,fördubblade,fördubblat,
B2,att,redigera,,redigerar,redigerade,redigerat,
B2,att,baka,,bakar,bakade,bakat,
B2,att,kompromissa,,kompromissar,kompromissade,kompromissat,
B2,att,svälja,,sväljer,svalde,svalt,
B2,att,tillstyrka,,tillstyrker,tillstyrkte,tillstyrkt,
B2,att,skörda,,skördar,skördade,skördat,
B2,att,såga,,sågar,sågade,sågat,
B2,att,haka,,hakar,hakade,hakat,
B2,att,knacka,,knackar,knackade,knackat,
B2,att,utkomma,,utkommer,utkom,utkommit,
B2,att,skryta,,skryter,skröt,skrutit,
B2,att,ankomma,,ankommer,ankom,ankommit,
B2,att,avsky,,avskyr,avskydde,avskytt,
B2,att,förmoda,,förmodar,förmodade,förmodat,
B2,att,pumpa,,pumpar,pumpade,pumpat,
B2,att,slopa,,slopar,slopade,slopat,
B2,att,avvakta,,avvaktar,avvaktade,avvaktat,
B2,att,praktisera,,praktiserar,praktiserade,praktiserat,
B2,att,rusta,,rustar,rustade,rustat,
B2,att,trilla,,trillar,trillade,trillat,
B2,att,handlägga,,handlägger,handlade,handlagt,
B2,att,missförstå,,missförstår,missförstod,missförstått,
B2,att,korrigera,,korrigerar,korrigerade,korrigerat,
B2,att,försätta,,försätter,försatte,försatt,
B2,att,återhämta,,återhämtar,återhämtade,återhämtat,
B2,att,donera,,donerar,donerade,donerat,
B2,att,överraska,,överraskar,överraskade,överraskat,
B2,att,relatera,,relaterar,relaterade,relaterat,
B2,att,administrera,,administrerar,administrerade,administrerat,
B2,att,konvertera,,konverterar,konverterade,konverterat,
B2,att,krympa,,krymper,krympte,krympt,
B2,att,underskatta,,underskattar,underskattade,underskattat,
B2,att,skifta,,skiftar,skiftade,skiftat,
B2,att,halka,,halkar,halkade,halkat,
B2,att,konfrontera,,konfronterar,konfronterade,konfronterat,
B2,att,kandidera,,kandiderar,kandiderade,kandiderat,
B2,att,plantera,,planterar,planterade,planterat,
B2,att,aktualisera,,aktualiserar,aktualiserade,aktualiserat,
B2,att,undanröja,,undanröjer,undanröjde,undanröjt,
B2,att,isolera,,isolerar,isolerade,isolerat,
B2,att,shoppa,,shoppar,shoppade,shoppat,
B2,att,hedra,,hedrar,hedrade,hedrat,
B2,att,tjata,,tjatar,tjatade,tjatat,
B2,att,återfå,,återfår,återfick,återfått,
B2,att,spänna,,spänner,spände,spänt,
B2,att,marschera,,marscherar,marscherade,marscherat,
B2,att,överdriva,,överdriver,överdrev,överdrivit,
B2,att,propagera,,propagerar,propagerade,propagerat,
B2,att,renovera,,renoverar,renoverade,renoverat,
B2,att,beröva,,berövar,berövade,berövat,
B2,att,slösa,,slösar,slösade,slösat,
B2,att,skämta,,skämtar,skämtade,skämtat,
B2,att,underrätta,,underrättar,underrättade,underrättat,
B2,att,dyrka,,dyrkar,dyrkade,dyrkat,
C1,att,omvända,,omvänder,omvände,omvänt,
C1,att,understödja,,understöder,understödde,understött,
C1,att,anamma,,anammar,anammade,anammat,
C1,att,arrestera,,arresterar,arresterade,arresterat,
C1,att,införliva,,införlivar,införlivade,införlivat,
C1,att,återkalla,,återkallar,återkallade,återkallat,
C1,att,överträffa,,överträffar,överträffade,överträffat,
C1,att,knäcka,,knäcker,knäckte,knäckt,
C1,att,befästa,,befäster,befäste,befäst,
C1,att,undanta,,undantar,undantog,undantagit,
C1,att,tysta,,tystar,tystade,tystat,
C1,att,stämpla,,stämplar,stämplade,stämplat,
C1,att,påskynda,,påskyndar,påskyndade,påskyndat,
C1,att,trösta,,tröstar,tröstade,tröstat,
C1,att,brottas,,brottas,brottades,brottats,
C1,att,stabilisera,,stabiliserar,stabiliserade,stabiliserat,
C1,att,hämma,,hämmar,hämmade,hämmat,
C1,att,nominera,,nominerar,nominerade,nominerat,
C1,att,viska,,viskar,viskade,viskat,
